"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5968","check user delete","chromium","Sat Oct 18 10:53:42 MSK 2025","passed","Sat Oct 18 10:53:48 MSK 2025","","webtables.spec.js","",""
"","730","test","webkit","Sat Oct 18 10:56:13 MSK 2025","passed","Sat Oct 18 10:56:13 MSK 2025","","test-1.spec.ts","",""
"","10810","download file test with async/await","firefox","Sat Oct 18 10:54:49 MSK 2025","passed","Sat Oct 18 10:55:00 MSK 2025","","uploaddownload.spec.js","",""
"","29053","check user add","webkit","Sat Oct 18 10:56:37 MSK 2025","passed","Sat Oct 18 10:57:06 MSK 2025","","webtables.spec.js","",""
"","11517","correct email","chromium","Sat Oct 18 10:53:31 MSK 2025","passed","Sat Oct 18 10:53:43 MSK 2025","","textbox.spec.js","",""
"","8530","upload file test","webkit","Sat Oct 18 10:56:28 MSK 2025","passed","Sat Oct 18 10:56:37 MSK 2025","","uploaddownload.spec.js","",""
"","18499","check user edition","webkit","Sat Oct 18 10:56:28 MSK 2025","passed","Sat Oct 18 10:56:47 MSK 2025","","webtables.spec.js","",""
"","21461","check main checkbox","firefox","Sat Oct 18 10:54:00 MSK 2025","passed","Sat Oct 18 10:54:22 MSK 2025","","checkbox.spec.js","",""
"","15894","элемент появляется на странице спустя 5 секунд","firefox","Sat Oct 18 10:54:09 MSK 2025","passed","Sat Oct 18 10:54:25 MSK 2025","","dynamicproperties.spec.js","",""
"","35072","проверка кодов ответов API при клике на ссылки","firefox","Sat Oct 18 10:54:22 MSK 2025","broken","Sat Oct 18 10:54:57 MSK 2025","","links.spec.js","",""
"","13168","broken link should return HTTP 500","chromium","Sat Oct 18 10:53:06 MSK 2025","passed","Sat Oct 18 10:53:19 MSK 2025","","brokenlinks.spec.js","",""
"","27045","check user delete","firefox","Sat Oct 18 10:55:06 MSK 2025","passed","Sat Oct 18 10:55:33 MSK 2025","","webtables.spec.js","",""
"","35209","first two links open new tab and contain expected title","firefox","Sat Oct 18 10:54:17 MSK 2025","broken","Sat Oct 18 10:54:52 MSK 2025","","links.spec.js","",""
"","8347","upload file test","firefox","Sat Oct 18 10:54:57 MSK 2025","passed","Sat Oct 18 10:55:05 MSK 2025","","uploaddownload.spec.js","",""
"","24523","check main checkbox","webkit","Sat Oct 18 10:55:44 MSK 2025","passed","Sat Oct 18 10:56:08 MSK 2025","","checkbox.spec.js","",""
"","11672","check user add","chromium","Sat Oct 18 10:53:43 MSK 2025","passed","Sat Oct 18 10:53:54 MSK 2025","","webtables.spec.js","",""
"","29604","valid image should be loaded","webkit","Sat Oct 18 10:55:09 MSK 2025","passed","Sat Oct 18 10:55:38 MSK 2025","","brokenlinks.spec.js","",""
"","9897","check user edition","chromium","Sat Oct 18 10:53:37 MSK 2025","passed","Sat Oct 18 10:53:47 MSK 2025","","webtables.spec.js","",""
"","13496","valid image should be loaded","chromium","Sat Oct 18 10:53:06 MSK 2025","passed","Sat Oct 18 10:53:19 MSK 2025","","brokenlinks.spec.js","",""
"","31131","проверка кодов ответов API при клике на ссылки","webkit","Sat Oct 18 10:55:55 MSK 2025","broken","Sat Oct 18 10:56:26 MSK 2025","","links.spec.js","",""
"","35078","check user edition","firefox","Sat Oct 18 10:55:00 MSK 2025","broken","Sat Oct 18 10:55:35 MSK 2025","","webtables.spec.js","",""
"","11429","first two links open new tab and contain expected title","chromium","Sat Oct 18 10:53:20 MSK 2025","passed","Sat Oct 18 10:53:31 MSK 2025","","links.spec.js","",""
"","13423","проверка кодов ответов API при клике на ссылки","chromium","Sat Oct 18 10:53:20 MSK 2025","passed","Sat Oct 18 10:53:33 MSK 2025","","links.spec.js","",""
